date,top buy,top sell,kiwi-coin.com (worldwide), kiwi-coin.com (europe),binance.us,coinmarketcap.com
2021-06-12T20:07:20.059Z,49544.05,52500.02,50216.89,50338.44,50273.66,50273.6
2021-06-12T20:07:25.856Z,49544.05,52500.02,50216.89,50338.44,50273.69,50273.6
2021-06-12T20:07:31.581Z,49544.05,52500.02,50216.89,50338.44,50273.73,50329.89
2021-06-12T20:07:37.580Z,49544.05,52500.02,50216.89,50338.44,50273.98,50329.89
2021-06-12T20:07:43.303Z,49544.05,52500.02,50216.89,50338.44,50273.98,50329.89
2021-06-12T20:07:49.127Z,49544.05,52500.02,50216.89,50338.44,50274.03,50329.89
2021-06-12T20:07:54.852Z,49544.05,52500.02,50216.89,50338.44,50274.17,50329.89
2021-06-12T20:08:00.570Z,49544.05,52500.02,50216.89,50338.44,50274.17,50329.89
2021-06-12T20:08:06.519Z,49544.05,52500.02,50216.89,50338.44,50276.29,50329.89
2021-06-12T20:08:12.242Z,49544.05,52500.02,50216.89,50338.44,50278.51,50329.89
2021-06-12T20:08:18.190Z,49544.05,52500.02,50216.89,50338.44,50278.87,50329.89
2021-06-12T20:08:23.996Z,49544.05,52500.02,50343.15,50338.44,50283.97,50329.89
2021-06-12T20:08:29.717Z,49544.05,52500.02,50343.15,50338.44,50284.17,50329.36
2021-06-12T20:08:35.437Z,49544.05,52500.02,50343.15,50338.44,50284.17,50329.36
2021-06-12T20:08:41.156Z,49544.05,52500.02,50343.15,50338.44,50284.17,50329.36
